partida_id,clube,cartao,atleta,posicao,minuto
5047,Atletico-MG,Amarelo,Guilherme Milhomem Gusmão,,90+4
5047,Santos,Amarelo,Gustavo Henrique Vernes,Zagueiro,64
5047,Santos,Amarelo,Lucas Rafael Araújo Lima,Meio-campo,39
5047,Santos,Amarelo,Vladimir Orlando Cardoso de Araújo Filho,Goleiro,90+1
5047,Santos,Amarelo,Werley Ananias da Silva,Zagueiro,45
5048,Coritiba,Amarelo,Fabricio Santos de Jesus,Meio-campo,25
5048,Flamengo,Amarelo,Paulo Victor Mileo Vidotti,Goleiro,88
5048,Flamengo,Amarelo,Jonas Gomes de Sousa,Meio-campo,34
5049,Chapecoense,Amarelo,Ananias Elói Castro Monteiro,Atacante,10
5049,Sao Paulo,Amarelo,Hudson,Meio-campo,51
5049,Sao Paulo,Amarelo,Luís Fabiano,Atacante,23
5050,Internacional,Amarelo,Nicolás Freitas,Meio-campo,18
5051,Joinville,Amarelo,Mario Sérgio,Zagueiro,54
5051,Joinville,Amarelo,Guti,Zagueiro,36
5052,Vasco,Amarelo,Luan Garcia Teixeira,Zagueiro,61
5052,Cruzeiro,Amarelo,Willians Domingos Fernandes,Meio-campo,57
5052,Cruzeiro,Amarelo,Pará,Zagueiro,8
5048,Flamengo,Vermelho,Jonas Gomes de Sousa,Meio-campo,45
5048,Coritiba,Amarelo,Thiago Galhardo,,70
5048,Flamengo,Amarelo,Marcelo Cirino da Silva,,90
5048,Flamengo,Amarelo,Márcio Rodrigues Araújo,Meio-campo,39
5049,Chapecoense,Amarelo,José Gildeixon Clemente de Paiva,Meio-campo,85
5049,Sao Paulo,Amarelo,Thiago Henrique Mendes Ribeiro,Meio-campo,78
5049,Sao Paulo,Amarelo,Bruno Vieira,Zagueiro,50
5050,Internacional,Amarelo,William de Asevedo Furtado,Zagueiro,40
5051,Joinville,Amarelo,Dankler,Zagueiro,63
5051,Joinville,Amarelo,Anselmo de Moraes,Meio-campo,45
5052,Vasco,Amarelo,Rodrigo Baldasso da Costa,Zagueiro,63
5052,Cruzeiro,Amarelo,Joel Tagueu,,87
5052,Cruzeiro,Amarelo,Leandro Damião,Atacante,21
5053,Ponte Preta,Amarelo,Tiago dos Santos Alves,Zagueiro,57
5053,Goias,Amarelo,Patrick,Meio-campo,90+2
5053,Goias,Amarelo,Bruno Henrique,Atacante,60
5054,Avai,Amarelo,André Lima,Atacante,73
5054,Avai,Amarelo,Nino Paraíba,Zagueiro,14
5054,Figueirense,Amarelo,Marcos Roberto da Silva Barbosa,Zagueiro,38
5055,Fluminense,Amarelo,Diego Cavalieri,Goleiro,90+1
5055,Fluminense,Amarelo,Gum,Zagueiro,79
5055,Fluminense,Amarelo,Jean Raphael Vanderlei Moreira,Meio-campo,67
